gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
T88_S_k141_956317__full-cat_2_2	T88_S_k141_956317__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T88_S_k141_956317__full-cat_2_2	T88_S_k141_956317__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T88_S_k141_956317__full-cat_2_4	T88_S_k141_956317__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T88_S_k141_956317__full-cat_2_4	T88_S_k141_956317__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MKF
T88_S_k141_956317__full-cat_2_6	T88_S_k141_956317__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T88_S_k141_956317__full-cat_2_6	T88_S_k141_956317__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T88_S_k141_956317__full-cat_2_6	T88_S_k141_956317__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T88_S_k141_956317__full-cat_2_7	T88_S_k141_956317__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T88_S_k141_956317__full-cat_2_7	T88_S_k141_956317__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MKF
T88_S_k141_956317__full-cat_2_13	T88_S_k141_956317__full-cat_2							3	MK
T88_S_k141_958940__full-cat_2_6	T88_S_k141_958940__full-cat_2							3	MK
T88_S_k141_958940__full-cat_2_11	T88_S_k141_958940__full-cat_2							3	MKF
T88_S_k141_969700__full-cat_1_7	T88_S_k141_969700__full-cat_1							2	MK
T88_S_k141_969700__full-cat_1_9	T88_S_k141_969700__full-cat_1							2	MK
T88_S_k141_988626__full-cat_1_10	T88_S_k141_988626__full-cat_1							2	MK
T88_S_k141_988626__full-cat_1_11	T88_S_k141_988626__full-cat_1							2	MK
T88_S_k141_988626__full-cat_1_13	T88_S_k141_988626__full-cat_1							2	MK
T88_S_k141_988626__full-cat_1_20	T88_S_k141_988626__full-cat_1							2	MKF
T88_S_k141_988626__full-cat_1_24	T88_S_k141_988626__full-cat_1							2	MKF
T88_S_k141_98874__full-cat_1_15	T88_S_k141_98874__full-cat_1							2	MK
T88_S_k141_98874__full-cat_1_18	T88_S_k141_98874__full-cat_1							2	MK
T88_S_k141_99996__full-cat_1_19	T88_S_k141_99996__full-cat_1	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	2	MK
T88_S_k141_99996__full-cat_1_19	T88_S_k141_99996__full-cat_1	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	2	MK
T88_S_k141_99996__full-cat_1_19	T88_S_k141_99996__full-cat_1	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Energy	C1		Reductive pentose phosphate cycle (Calvin cycle)	2	MK
T88_S_k141_99996__full-cat_1_19	T88_S_k141_99996__full-cat_1	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Energy	C1		Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	2	MK
T8_S__k141_1035451__full-cat_1_4	T8_S__k141_1035451__full-cat_1							1	MKF
T8_S__k141_1040826__full-cat_1_6	T8_S__k141_1040826__full-cat_1							3	MKF
T8_S__k141_1068423__full-cat_1_21	T8_S__k141_1068423__full-cat_1							2	MKF
T8_S__k141_1068527__full-cat_2_19	T8_S__k141_1068527__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T8_S__k141_1068527__full-cat_2_19	T8_S__k141_1068527__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T8_S__k141_1068527__full-cat_2_19	T8_S__k141_1068527__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T8_S__k141_1071973__full-cat_1_12	T8_S__k141_1071973__full-cat_1							2	MK
T8_S__k141_1071973__full-cat_1_13	T8_S__k141_1071973__full-cat_1							2	MK
T8_S__k141_1071973__full-cat_1_17	T8_S__k141_1071973__full-cat_1							2	MK
T8_S__k141_1071973__full-cat_1_18	T8_S__k141_1071973__full-cat_1							2	MK
T8_S__k141_108222__full-cat_1_23	T8_S__k141_108222__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MF
T8_S__k141_10916__full-cat_1_14	T8_S__k141_10916__full-cat_1							2	MK
T8_S__k141_1133048__full-cat_2_4	T8_S__k141_1133048__full-cat_2							3	MKF
T8_S__k141_1133048__full-cat_2_6	T8_S__k141_1133048__full-cat_2							3	MKF
T8_S__k141_1133048__full-cat_2_7	T8_S__k141_1133048__full-cat_2							3	MKF
T8_S__k141_113990__full-cat_1_2	T8_S__k141_113990__full-cat_1	U69	Self-processing occurs at the Ser846|+|Ala bond.	Organic Nitrogen	Peptidase		Self-processing peptidases	2	MF
T8_S__k141_1143314__full-cat_2_7	T8_S__k141_1143314__full-cat_2							3	MK
T8_S__k141_1144545__full-cat_2_7	T8_S__k141_1144545__full-cat_2							3	MK
T8_S__k141_1195539__full-cat_2_2	T8_S__k141_1195539__full-cat_2							3	MKF
T8_S__k141_1195539__full-cat_2_9	T8_S__k141_1195539__full-cat_2	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	M
T8_S__k141_1195539__full-cat_2_15	T8_S__k141_1195539__full-cat_2							3	MK
T8_S__k141_1195539__full-cat_2_18	T8_S__k141_1195539__full-cat_2							3	MK
T8_S__k141_1195539__full-cat_2_19	T8_S__k141_1195539__full-cat_2							3	MK
T8_S__k141_1195539__full-cat_2_22	T8_S__k141_1195539__full-cat_2							3	MKF
T8_S__k141_1241352__full-cat_2_26	T8_S__k141_1241352__full-cat_2							3	MK
T8_S__k141_1260495__full-cat_1_25	T8_S__k141_1260495__full-cat_1							2	MKF
T8_S__k141_1268114__full-cat_1_19	T8_S__k141_1268114__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	M
T8_S__k141_1322371__full-cat_1_9	T8_S__k141_1322371__full-cat_1							2	MKF
T8_S__k141_1322371__full-cat_1_23	T8_S__k141_1322371__full-cat_1							2	MKF
T8_S__k141_1339470__full_1-cat_1_6	T8_S__k141_1339470__full_1-cat_1	K09882	cobS; cobaltochelatase CobS [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		Cobalamin biosynthesis, precorrin2 => cobinamide	2	MF
T8_S__k141_1348914__full-cat_1_29	T8_S__k141_1348914__full-cat_1							2	MK
T8_S__k141_1386836__full-cat_2_14	T8_S__k141_1386836__full-cat_2							3	MK
T8_S__k141_1386836__full-cat_2_15	T8_S__k141_1386836__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T8_S__k141_1386836__full-cat_2_15	T8_S__k141_1386836__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T8_S__k141_1386836__full-cat_2_15	T8_S__k141_1386836__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T8_S__k141_1386836__full-cat_2_17	T8_S__k141_1386836__full-cat_2							3	MKF
T8_S__k141_1386836__full-cat_2_18	T8_S__k141_1386836__full-cat_2							3	MKF
T8_S__k141_1415942__full-cat_1_2	T8_S__k141_1415942__full-cat_1							2	MKF
T8_S__k141_1421122__full-cat_1_13	T8_S__k141_1421122__full-cat_1							2	MKF
T8_S__k141_1422581__full-cat_1_18	T8_S__k141_1422581__full-cat_1							1	MK
T8_S__k141_1422581__full-cat_1_44	T8_S__k141_1422581__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	MKE
T8_S__k141_1422581__full-cat_1_51	T8_S__k141_1422581__full-cat_1							1	MK
T8_S__k141_1422581__full-cat_1_80	T8_S__k141_1422581__full-cat_1							1	MK
T8_S__k141_1424640__full-cat_1_11	T8_S__k141_1424640__full-cat_1							2	MK
T8_S__k141_1444694__full-cat_2_3	T8_S__k141_1444694__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T8_S__k141_1446641__full-cat_1_4	T8_S__k141_1446641__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T8_S__k141_145532__full-cat_1_5	T8_S__k141_145532__full-cat_1							1	MKF
T8_S__k141_145532__full-cat_1_8	T8_S__k141_145532__full-cat_1							1	MKF
T8_S__k141_145532__full-cat_1_14	T8_S__k141_145532__full-cat_1							1	MK
T8_S__k141_1466741__full-cat_2_3	T8_S__k141_1466741__full-cat_2							3	MKF
T8_S__k141_1466741__full-cat_2_4	T8_S__k141_1466741__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T8_S__k141_1466741__full-cat_2_4	T8_S__k141_1466741__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MKF
T8_S__k141_1466741__full-cat_2_9	T8_S__k141_1466741__full-cat_2							3	MK
T8_S__k141_1466741__full-cat_2_14	T8_S__k141_1466741__full-cat_2							3	MK
T8_S__k141_1466741__full-cat_2_23	T8_S__k141_1466741__full-cat_2							3	MKF
T8_S__k141_1468691__full-cat_1_5	T8_S__k141_1468691__full-cat_1							1	MKF
T8_S__k141_1468691__full-cat_1_11	T8_S__k141_1468691__full-cat_1							1	MK
T8_S__k141_1468691__full-cat_1_14	T8_S__k141_1468691__full-cat_1							1	MKF
T8_S__k141_1468691__full-cat_1_15	T8_S__k141_1468691__full-cat_1							1	MKF
T8_S__k141_1471076__full-cat_1_3	T8_S__k141_1471076__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T8_S__k141_1471076__full-cat_1_11	T8_S__k141_1471076__full-cat_1							1	MK
T8_S__k141_1505048__full-cat_2_3	T8_S__k141_1505048__full-cat_2	K00860	adenylylsulfate kinase [EC:2.7.1.25] [RN:R00509]	Energy	Sulfur		Assimilatory sulfate reduction, sulfate => H2S	3	MF
T8_S__k141_1505048__full-cat_2_7	T8_S__k141_1505048__full-cat_2							3	MKF
T8_S__k141_155987__full-cat_2_21	T8_S__k141_155987__full-cat_2							3	MKE
T8_S__k141_155987__full-cat_2_24	T8_S__k141_155987__full-cat_2							3	MKF
T8_S__k141_155987__full-cat_2_26	T8_S__k141_155987__full-cat_2	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T8_S__k141_161843__full-cat_2_21	T8_S__k141_161843__full-cat_2							3	MKF
T8_S__k141_161843__full-cat_2_23	T8_S__k141_161843__full-cat_2							3	MKF
T8_S__k141_161843__full-cat_2_25	T8_S__k141_161843__full-cat_2							3	MKF
T8_S__k141_17568__full-cat_1_17	T8_S__k141_17568__full-cat_1							1	MKF
T8_S__k141_179319__full-cat_1_24	T8_S__k141_179319__full-cat_1							1	MK
T8_S__k141_215__full-cat_1_3	T8_S__k141_215__full-cat_1							2	MKF
T8_S__k141_22569__full-cat_2_5	T8_S__k141_22569__full-cat_2							3	MKF
T8_S__k141_22569__full-cat_2_10	T8_S__k141_22569__full-cat_2							3	MK
T8_S__k141_22569__full-cat_2_14	T8_S__k141_22569__full-cat_2							3	MKF
T8_S__k141_239897__full-cat_2_11	T8_S__k141_239897__full-cat_2							3	MK
T8_S__k141_251555__full-cat_2_8	T8_S__k141_251555__full-cat_2							3	MKF
T8_S__k141_274244__full-cat_2_7	T8_S__k141_274244__full-cat_2							3	MK
T8_S__k141_274244__full-cat_2_9	T8_S__k141_274244__full-cat_2							3	MK
T8_S__k141_285178__full-cat_1_4	T8_S__k141_285178__full-cat_1	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	2	MKF
T8_S__k141_285178__full-cat_1_4	T8_S__k141_285178__full-cat_1	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	2	MKF
T8_S__k141_285178__full-cat_1_4	T8_S__k141_285178__full-cat_1	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	2	MKF
T8_S__k141_302691__full-cat_1_28	T8_S__k141_302691__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T8_S__k141_302691__full-cat_1_30	T8_S__k141_302691__full-cat_1							2	MKEF
T8_S__k141_302691__full-cat_1_31	T8_S__k141_302691__full-cat_1							2	MKF
T8_S__k141_305473__full-cat_1_18	T8_S__k141_305473__full-cat_1							2	MKF
T8_S__k141_310723__full-cat_1_9	T8_S__k141_310723__full-cat_1							2	MKF
T8_S__k141_311187__full-cat_2_6	T8_S__k141_311187__full-cat_2							3	MKF
T8_S__k141_311187__full-cat_2_7	T8_S__k141_311187__full-cat_2							3	MKF
T8_S__k141_315375__full-cat_2_2	T8_S__k141_315375__full-cat_2							3	MKF
T8_S__k141_315375__full-cat_2_23	T8_S__k141_315375__full-cat_2	K01243	S-adenosylhomocysteine/5'-methylthioadenosine nucleosidase [EC:3.2.2.9] [RN:R00194]	Organic Nitrogen	Amino Acid		Cysteine biosynthesis, methionine => cysteine	3	MK
T8_S__k141_315375__full-cat_2_54	T8_S__k141_315375__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MK
T8_S__k141_315375__full-cat_2_54	T8_S__k141_315375__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MK
T8_S__k141_315375__full-cat_2_61	T8_S__k141_315375__full-cat_2							3	MK
T8_S__k141_315375__full-cat_2_66	T8_S__k141_315375__full-cat_2							3	MK
T8_S__k141_315375__full-cat_2_69	T8_S__k141_315375__full-cat_2							3	MK
T8_S__k141_315375__full-cat_2_77	T8_S__k141_315375__full-cat_2							3	MK
T8_S__k141_326231__full-cat_2_2	T8_S__k141_326231__full-cat_2							3	MKF
T8_S__k141_326231__full-cat_2_4	T8_S__k141_326231__full-cat_2							3	MKF
T8_S__k141_326231__full-cat_2_9	T8_S__k141_326231__full-cat_2							3	MKF
T8_S__k141_328264__full-cat_1_14	T8_S__k141_328264__full-cat_1							2	MK
T8_S__k141_329115__full-cat_1_34	T8_S__k141_329115__full-cat_1							2	MK
T8_S__k141_329115__full-cat_1_41	T8_S__k141_329115__full-cat_1							2	MKF
T8_S__k141_336004__full-cat_1_12	T8_S__k141_336004__full-cat_1							1	MKEF
T8_S__k141_343622__full-cat_1_19	T8_S__k141_343622__full-cat_1							2	MKE
T8_S__k141_343622__full-cat_1_22	T8_S__k141_343622__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKE
T8_S__k141_352182__full-cat_1_3	T8_S__k141_352182__full-cat_1							1	MKF
T8_S__k141_37183__full-cat_2_11	T8_S__k141_37183__full-cat_2							3	MKF
T8_S__k141_37183__full-cat_2_18	T8_S__k141_37183__full-cat_2	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	M
T8_S__k141_378278__full-cat_1_3	T8_S__k141_378278__full-cat_1							2	MKEF
T8_S__k141_378278__full-cat_1_6	T8_S__k141_378278__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T8_S__k141_405732__full-cat_2_6	T8_S__k141_405732__full-cat_2							3	MKF
T8_S__k141_405732__full-cat_2_7	T8_S__k141_405732__full-cat_2							3	MKF
T8_S__k141_405732__full-cat_2_13	T8_S__k141_405732__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T8_S__k141_405732__full-cat_2_13	T8_S__k141_405732__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MKF
T8_S__k141_405732__full-cat_2_14	T8_S__k141_405732__full-cat_2							3	MKF
T8_S__k141_407179__full-cat_2_17	T8_S__k141_407179__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T8_S__k141_414269__full-cat_2_11	T8_S__k141_414269__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T8_S__k141_414269__full-cat_2_12	T8_S__k141_414269__full-cat_2	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T8_S__k141_414269__full-cat_2_20	T8_S__k141_414269__full-cat_2							3	MK
T8_S__k141_414269__full-cat_2_23	T8_S__k141_414269__full-cat_2							3	MK
T8_S__k141_414269__full-cat_2_35	T8_S__k141_414269__full-cat_2	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MKEF
T8_S__k141_414269__full-cat_2_35	T8_S__k141_414269__full-cat_2	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3	MKEF
T8_S__k141_420055__full-cat_2_17	T8_S__k141_420055__full-cat_2							3	MKF
T8_S__k141_450378__full-cat_1_7	T8_S__k141_450378__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T8_S__k141_450378__full-cat_1_9	T8_S__k141_450378__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T8_S__k141_450378__full-cat_1_12	T8_S__k141_450378__full-cat_1							2	MK
T8_S__k141_457969__full-cat_1_14	T8_S__k141_457969__full-cat_1							1	MK
T8_S__k141_520350__full-cat_1_6	T8_S__k141_520350__full-cat_1	I39	interact with endopeptidases regardless of catalytic type	Organic Nitrogen	Peptidase		Mammalian alpha-macroglobulin and other large homologous proteins that interact with endopeptidases regardless of catalytic type	2	MF
T8_S__k141_520350__full-cat_1_10	T8_S__k141_520350__full-cat_1							2	MK
T8_S__k141_520350__full-cat_1_23	T8_S__k141_520350__full-cat_1							2	MKF
T8_S__k141_520350__full-cat_1_24	T8_S__k141_520350__full-cat_1	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	2	MKF
T8_S__k141_520350__full-cat_1_24	T8_S__k141_520350__full-cat_1	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	2	MKF
T8_S__k141_526376__full-cat_2_4	T8_S__k141_526376__full-cat_2							3	MKF
T8_S__k141_526376__full-cat_2_7	T8_S__k141_526376__full-cat_2	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MKEF
T8_S__k141_526376__full-cat_2_7	T8_S__k141_526376__full-cat_2	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3	MKEF
T8_S__k141_526376__full-cat_2_10	T8_S__k141_526376__full-cat_2							3	MKF
T8_S__k141_568029__full-cat_2_37	T8_S__k141_568029__full-cat_2							3	MK
T8_S__k141_568581__full-cat_2_4	T8_S__k141_568581__full-cat_2							3	MKF
T8_S__k141_568581__full-cat_2_6	T8_S__k141_568581__full-cat_2							3	MKF
T8_S__k141_573866__full-cat_2_2	T8_S__k141_573866__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T8_S__k141_577265__full-cat_2_6	T8_S__k141_577265__full-cat_2							3	MKF
T8_S__k141_579113__full-cat_1_4	T8_S__k141_579113__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	MF
T8_S__k141_579113__full-cat_1_36	T8_S__k141_579113__full-cat_1							1	MKF
T8_S__k141_584460__full-cat_1_19	T8_S__k141_584460__full-cat_1	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	2	MK
T8_S__k141_584460__full-cat_1_19	T8_S__k141_584460__full-cat_1	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	2	MK
T8_S__k141_584460__full-cat_1_19	T8_S__k141_584460__full-cat_1	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	2	MK
T8_S__k141_585361__full-cat_1_15	T8_S__k141_585361__full-cat_1							1	MK
T8_S__k141_588082__full-cat_1_10	T8_S__k141_588082__full-cat_1							1	MK
T8_S__k141_589799__full-cat_2_11	T8_S__k141_589799__full-cat_2							3	MKF
T8_S__k141_594645__full_1-cat_2_26	T8_S__k141_594645__full_1-cat_2							3	MK
T8_S__k141_594645__full_1-cat_2_31	T8_S__k141_594645__full_1-cat_2							3	MKF
T8_S__k141_59662__full-cat_2_5	T8_S__k141_59662__full-cat_2	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T8_S__k141_59662__full-cat_2_6	T8_S__k141_59662__full-cat_2							3	MKEF
T8_S__k141_603342__full-cat_1_4	T8_S__k141_603342__full-cat_1							1	MKF
T8_S__k141_61442__full-cat_1_3	T8_S__k141_61442__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	MF
T8_S__k141_656113__full-cat_2_5	T8_S__k141_656113__full-cat_2							3	MKF
T8_S__k141_656113__full-cat_2_11	T8_S__k141_656113__full-cat_2							3	MK
T8_S__k141_656113__full-cat_2_13	T8_S__k141_656113__full-cat_2							3	MK
T8_S__k141_656113__full-cat_2_17	T8_S__k141_656113__full-cat_2							3	MK
T8_S__k141_656113__full-cat_2_20	T8_S__k141_656113__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T8_S__k141_656113__full-cat_2_20	T8_S__k141_656113__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T8_S__k141_656113__full-cat_2_20	T8_S__k141_656113__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T8_S__k141_657360__full-cat_1_5	T8_S__k141_657360__full-cat_1							2	MKF
